pH,conductivity,turbidity,temperature,time
7.7,16.66,500,12.38,2025-12-04T18:32:25
7.7,16.66,502,12.38,2025-12-04T18:32:35
7.7,16.66,502,12.38,2025-12-04T18:32:45
7.69,16.66,502,12.38,2025-12-04T18:32:55
7.69,16.66,499,12.38,2025-12-04T18:33:05
7.69,16.66,502,12.38,2025-12-04T18:33:16
7.7,16.66,503,12.38,2025-12-04T18:33:26
7.7,16.66,502,12.38,2025-12-04T18:33:36
7.7,16.63,502,12.44,2025-12-04T18:33:46
7.69,16.66,502,12.38,2025-12-04T18:33:56
7.7,16.66,503,12.38,2025-12-04T18:34:07
7.69,16.66,502,12.38,2025-12-04T18:34:17
7.69,16.66,502,12.38,2025-12-04T18:34:27
7.69,16.63,502,12.44,2025-12-04T18:34:37
7.69,16.63,502,12.44,2025-12-04T18:34:47
7.69,16.66,502,12.38,2025-12-04T18:34:57
7.69,16.63,502,12.44,2025-12-04T18:35:08
7.68,16.63,502,12.44,2025-12-04T18:35:18
7.68,16.63,502,12.44,2025-12-04T18:35:28
7.69,16.63,503,12.44,2025-12-04T18:35:38
7.69,16.66,503,12.38,2025-12-04T18:35:48
7.69,16.66,503,12.38,2025-12-04T18:35:59
7.69,16.63,503,12.44,2025-12-04T18:36:09
7.69,16.66,502,12.38,2025-12-04T18:36:19
7.69,16.66,502,12.38,2025-12-04T18:36:29
7.69,16.63,502,12.44,2025-12-04T18:36:39
7.69,16.66,502,12.38,2025-12-04T18:36:50
7.69,16.63,500,12.44,2025-12-04T18:37:00
7.69,16.63,503,12.44,2025-12-04T18:37:10
7.69,16.66,503,12.38,2025-12-04T18:37:20
7.69,16.63,504,12.44,2025-12-04T18:37:30
7.69,16.63,504,12.44,2025-12-04T18:37:41
7.69,16.66,504,12.38,2025-12-04T18:37:51
7.69,16.66,502,12.38,2025-12-04T18:38:01
7.69,16.63,504,12.44,2025-12-04T18:38:11
7.69,16.63,502,12.44,2025-12-04T18:38:21
7.69,16.66,503,12.38,2025-12-04T18:38:32
7.69,16.63,503,12.44,2025-12-04T18:38:42
7.69,16.63,505,12.44,2025-12-04T18:38:52
7.69,16.66,504,12.38,2025-12-04T18:39:02
7.69,16.63,503,12.44,2025-12-04T18:39:12
7.68,16.63,503,12.44,2025-12-04T18:39:22
7.69,16.66,504,12.38,2025-12-04T18:39:33
7.69,16.63,504,12.44,2025-12-04T18:39:43
7.68,16.63,503,12.44,2025-12-04T18:39:53
7.68,16.66,502,12.38,2025-12-04T18:40:03
7.67,16.63,504,12.44,2025-12-04T18:40:13
7.67,16.63,505,12.44,2025-12-04T18:40:24
7.66,16.66,505,12.38,2025-12-04T18:40:34
7.66,16.63,503,12.44,2025-12-04T18:40:44
7.66,16.63,503,12.44,2025-12-04T18:40:54
7.66,16.63,504,12.44,2025-12-04T18:41:04
7.67,16.63,503,12.44,2025-12-04T18:41:15
7.68,16.63,504,12.44,2025-12-04T18:41:25
7.68,16.66,503,12.38,2025-12-04T18:41:35
7.68,16.66,504,12.38,2025-12-04T18:41:45
7.68,16.63,504,12.44,2025-12-04T18:41:55
7.68,16.66,503,12.38,2025-12-04T18:42:06
7.69,16.66,504,12.38,2025-12-04T18:42:16
7.68,16.66,503,12.38,2025-12-04T18:42:26
7.69,16.63,505,12.44,2025-12-04T18:42:36
7.69,16.66,505,12.38,2025-12-04T18:42:46
7.69,16.66,504,12.38,2025-12-04T18:42:57
7.69,16.63,504,12.44,2025-12-04T18:43:07
7.69,16.63,505,12.44,2025-12-04T18:43:17
7.69,16.63,505,12.44,2025-12-04T18:43:27
7.69,16.63,504,12.44,2025-12-04T18:43:37
7.69,16.63,504,12.44,2025-12-04T18:43:48
7.69,16.63,504,12.44,2025-12-04T18:43:58
7.69,16.63,504,12.44,2025-12-04T18:44:08
7.69,16.66,505,12.38,2025-12-04T18:44:18
7.69,16.66,505,12.38,2025-12-04T18:44:28
7.69,16.63,504,12.44,2025-12-04T18:44:38
7.69,16.63,504,12.44,2025-12-04T18:44:49
7.69,16.66,505,12.38,2025-12-04T18:44:59
7.69,16.63,500,12.44,2025-12-04T18:45:09
7.69,16.66,504,12.38,2025-12-04T18:45:19
7.69,16.66,505,12.38,2025-12-04T18:45:29
7.69,16.63,505,12.44,2025-12-04T18:45:40
7.69,16.63,506,12.44,2025-12-04T18:45:50
7.68,16.63,504,12.44,2025-12-04T18:46:00
7.69,16.63,505,12.44,2025-12-04T18:46:10
7.68,16.66,504,12.38,2025-12-04T18:46:20
7.68,16.63,504,12.44,2025-12-04T18:46:31
7.68,16.63,505,12.44,2025-12-04T18:46:41
7.68,16.63,506,12.44,2025-12-04T18:46:51
7.68,16.63,502,12.44,2025-12-04T18:47:01
7.69,16.63,506,12.44,2025-12-04T18:47:11
7.69,16.63,505,12.44,2025-12-04T18:47:22
7.69,16.63,505,12.44,2025-12-04T18:47:32
7.69,16.63,505,12.44,2025-12-04T18:47:42
